Count,Name,Center X,Center Y,Diameter,Length
1,Circle,47.0000,85.3000,10.0000,
1,Circle,18.0000,85.3000,6.0000,
1,Circle,49.0000,68.8000,8.0000,
1,Circle,31.0000,75.3000,6.0000,
1,Circle,30.0000,30.0000,4.0000,
1,Circle,15.0000,30.0000,4.0000,
1,Circle,30.0000,40.0000,5.0000,
1,Circle,45.0000,30.0000,3.0000,
2,Line,,,,105.3000
2,Line,,,,69.8000
