Count,Name,Length,Position X,Position Y
1,Point,,20.0000,89.3000
1,Point,,20.0000,75.3000
1,Point,,54.7500,20.0000
1,Point,,52.0000,75.3000
1,Point,,51.8000,91.3000
1,Point,,39.8000,83.3000
1,Point,,44.7000,25.0000
1,Point,,20.3000,14.5000
1,Point,,10.6000,30.0000
1,Point,,11.6000,21.5000
1,Point,,39.9000,40.0000
1,Point,,30.4000,21.0000
1,Point,,19.5000,27.0000
2,Line,105.3000,,
2,Line,69.8000,,
4,Line,0.0000,,
