Count,Name,Length,Position X,Position Y
1,Point,,40.0000,95.3000
1,Point,,20.0000,90.3000
1,Point,,30.0000,80.3000
1,Point,,50.0000,64.3000
1,Point,,55.0000,80.3000
1,Point,,20.1000,20.0000
1,Point,,11.3000,30.5000
1,Point,,29.4000,30.0000
1,Point,,48.3000,25.0000
1,Point,,46.1000,37.8000
2,Line,105.3000,,
2,Line,69.8000,,
